num_plan,plan,goals,plan_goals_GT
1,Yo voy a enviar las cartas,"['1','3','5']","['1']"
2,Yo voy a enviar las cartas y recoger el paquete,"['1','3','5']","['1','3']"
3,Yo voy a llevar la caja de registros,"['1','3','5']","['5']"
4,Yo voy a llevar la caja de registros y recoger el paquete,"['1','3','5']","['3','5']"
5,Yo voy a llevar la caja de registros y enviar las cartas,"['1','3','5']","['1','5']"
6,"Yo voy a llevar la caja de registros, enviar las cartas y recoger el paquete","['1','3','5']","['1','3','5']"
7,Yo solo puedo atender a la gente,"['1','3','5']","[]"
1,Yo sello los diplomas,"['1','2','7']","['2']"
2,Yo envío las letras a la Generalitat,"['1','2','7']","['1']"
3,Yo organizo el material del paquete,"['1','2','7']","['7']"
4,Yo puedo sellar los diplomas,"['1','2','7']","['2']"
5,Yo solo puedo enviar las cartas y sellar los destos,"['1','2','7']","['1','2']"
6,Yo me encargo del paquete y de las cartas,"['1','2','7']","['1','7']"
7,Yo me encargo de todo,"['1','2','7']","['1','2','7']"
8,Yo me encargo de los siplomas,"['1','2','7']","['2']"
9,Yo desempaqueto,"['1','2','7']","['7']"
1,Yo atiendo al visitante y así después lo acompaño a la puerta y aprovecho para recoger el paquete,"['2','3','4','6']","['3','4']"
2,Yo voy a sacar la basura y así de camino recojo el pedido que ha llegado,"['2','3','4','6']","['3','6']"
3,Ya puedo atender al visitante y sellaré también los diplomas,"['2','3','4','6']","['2','4']"
4,Yo tiro la basura y después sello los diplomas,"['2','3','4','6']","['2','6']"
5,"Yo atiendo a Jose, recojo el paquete, sello los diplomas y saco la basura","['2','3','4','6']","['2','3','4','6']"
6,Yo tengo que ir a hablar con el jefe y tengo trabajo toda la tarde,"['2','3','4','6']","[]"
7,Yo me quedo en recepción por si vienen visitantes,"['2','3','4','6']","['4']"
8,Yo me encargo de todo,"['2','3','4','6']","['2','3','4','6']"
9,Yo voy a buscar las cajas del almacen,"['2','3','4','6']","[]"
1,Yo voy a buscar el paquete,"['2','3','4','7']","['3']"
2,Yo me encargo de todo lo del paquete,"['2','3','4','7']","['3','7']"
3,Yo sello los diplomas de méritos y atiendo al visitante,"['2','3','4','7']","['2','4']"
4,Yo atiendo a María y voy a buscar el paquete,"['2','3','4','7']","['3','4']"
5,Yo me encargo del paquete que tu vas a recoger y después sello los diplomas,"['2','3','4','7']","['2','7']"
6,Yo me encargo de todo,"['2','3','4','7']","['2','3','4','7']"
7,"Yo hablo con María que está esperando en la recepción. Cuando acabe, voy a buscar el paquete","['2','3','4','7']","['3','4']"
